split,image_id,orig_width,orig_height,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,crop_status,old_label_count,new_label_count,dropped_label_count
train,001ade2a3cb53fd808bd2856a0df5413,1465,2048,640,116,1465,1851,825,1735,ok,3,3,0
train,002074412a8fc178c271fb93b55c3e29,1630,2048,959,94,1630,2027,671,1933,ok,1,1,0
train,0023a34e6da7f2e0ce21c6edaaa6b044,1465,2048,0,83,573,1750,573,1667,ok,0,0,0
train,002460132586dc0c7b88a59dce6e77bd,1630,2048,0,0,580,1584,580,1584,ok,1,1,0
train,0027b96e3fad26237fc3b9a4e3764569,1630,2048,904,0,1630,1722,726,1722,ok,0,0,0
train,0033486d8e272f4914b6e6220b21297f,1630,2048,944,0,1630,1563,686,1563,ok,0,0,0
train,0077cf9b17659aacf770131a44deeb21,1630,2048,0,346,486,1592,486,1246,ok,0,0,0
train,00857417d07096982013956033da1f75,1630,2048,0,407,475,1711,475,1304,ok,1,1,0
train,008efa0084e21397631642ec9bfbb544,1465,2048,0,0,711,2048,711,2048,ok,0,0,0
train,009c030ed53e82ad3d42ee3072d3f713,1630,2048,0,0,557,1528,557,1528,ok,0,0,0
train,009e539fbe294fb3f22022e56faa7600,1630,2048,1059,254,1630,1550,571,1296,ok,0,0,0
train,00d2e2e744370b53e27b0d75dcbac582,1630,2048,0,171,702,1628,702,1457,ok,0,0,0
train,0112888ebb711f6e8bacc5076928ce17,1630,2048,1059,0,1630,1391,571,1391,ok,0,0,0
train,0159bbb5f3513dbf9e83549b99fb6c89,1630,2048,1041,408,1630,1853,589,1445,ok,0,0,0
train,0171ab32059f4c226164a13c311f6824,1630,2048,0,0,620,1614,620,1614,ok,1,1,0
train,0178810f3d306a7aa66eeea226b85846,1609,2048,1071,0,1609,1786,538,1786,ok,0,0,0
train,0251626a4fc9a399779129e0381638fc,1630,2048,1106,422,1630,1779,524,1357,ok,0,0,0
train,025e8bf895b273d9925a88c0f295bd09,1630,2048,0,0,671,1724,671,1724,ok,0,0,0
train,0263ac33ea388446f5ef9b5d074cd7ac,1630,2048,1063,0,1630,1647,567,1647,ok,0,0,0
train,029bce64717d6abfa8b91da845e2369e,1630,2048,0,374,590,1757,590,1383,ok,0,0,0
train,02b3206d267eb7f354113b0c5365127b,1609,2048,0,0,479,1903,479,1903,ok,1,1,0
train,02bfa44c5d38d04bdb6d6e22b647e6a8,1630,2048,0,242,617,1605,617,1363,ok,0,0,0
train,03bef4f436b444b0f984705dd9fccb0d,1630,2048,1055,127,1630,1520,575,1393,ok,0,0,0
train,044871fcc0dda40a47d15e694f4abbd6,1609,2048,0,355,540,1640,540,1285,ok,0,0,0
train,048442000c4a83196f09dd278f743b3c,1630,2048,1193,389,1630,1642,437,1253,ok,0,0,0
train,04c64dd7683662188094816c7c2ca88d,1630,2048,0,0,517,1551,517,1551,ok,2,2,0
train,050c2f6caf47f439d62e1fc8942396f6,1630,2048,1270,152,1630,1547,360,1395,ok,1,1,0
train,0512eba40f343332df4758ea376de0dc,1609,2048,1166,399,1609,1629,443,1230,ok,0,0,0
train,051c9cdca609082df5257bde8b1ec127,1630,2048,897,398,1630,1792,733,1394,ok,0,0,0
train,051cab78cc34935e39f6133fad298923,1630,2048,0,0,512,1782,512,1782,ok,0,0,0
train,0528e89707550f54d3677dd55b11e698,1465,2048,439,0,1465,2004,1026,2004,ok,0,0,0
train,058dadc4d0a2de9f98c3cabada08703e,1630,2048,0,0,674,1696,674,1696,ok,0,0,0
train,05b027272d8159658b5f9a51e22e734f,1630,2048,888,0,1630,1654,742,1654,ok,0,0,0
train,061bc49a16cad3bc2b479993f7e689f8,1630,2048,1103,0,1630,1544,527,1544,ok,1,1,0
train,063e3c9dbcf2f26a8a2bc026061e8b6c,1630,2048,1045,0,1630,1650,585,1650,ok,0,0,0
train,06691f5dc2caa5f72c05d4b26af810cf,1609,2048,1119,0,1609,1580,490,1580,ok,3,3,0
train,06bb29b24d251036283df49dcd1a0651,1630,2048,0,0,689,1852,689,1852,ok,0,0,0
train,06e41ae6d876da5119d826eee7f26fd3,1630,2048,0,238,650,1641,650,1403,ok,0,0,0
train,07113fb0e24edd63db2b28980d4b88f2,1630,2048,0,362,435,1627,435,1265,ok,0,0,0
train,074299330d1c1adedf9728812efdda0a,1630,2048,0,0,521,1464,521,1464,ok,0,0,0
train,07b7e44dbce5dfef79947f2c8bb18a55,1630,2048,0,0,667,1531,667,1531,ok,0,0,0
train,07e191bc54c3378f9fdf23ddecc47420,1609,2048,943,210,1609,2048,666,1838,ok,2,2,0
train,07f468d6fff5b3e3b512e4b95cf0cdda,1630,2048,0,303,651,1677,651,1374,ok,1,1,0
train,07f5863348560d0507bba86c8bba0586,1609,2048,966,101,1609,2048,643,1947,ok,2,2,0
