epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8449,2.65755,7.38045,2.12135,0.01297,0.31157,0.05205,0.02049,2.39359,4.01207,1.92196,0.00329588,0.00329588,0.0703371
2,116.209,2.45078,3.62092,1.75389,0.0101,0.01299,0.0027,0.00052,3.15974,5.13172,1.91576,0.00656358,0.00656358,0.0402714
3,173.047,2.50998,4.07438,1.83285,0.00201,0.06025,0.00018,3e-05,3.91839,5.51762,3.45138,0.00976529,0.00976529,0.0101398
4,230.452,2.55193,3.71336,1.86145,0.53676,0.01948,0.01683,0.00612,2.66206,4.02322,1.98138,0.009703,0.009703,0.009703
5,286.65,2.54729,3.63013,1.90092,0.71542,0.02597,0.03138,0.01239,2.56467,4.30457,2.21482,0.009604,0.009604,0.009604
6,345.008,2.59992,3.54493,1.9515,0.58708,0.04545,0.02326,0.00845,2.46676,4.85919,1.9939,0.009505,0.009505,0.009505
7,401.676,2.53425,3.50565,1.90346,0.57267,0.00649,0.02184,0.00541,2.68783,4.0318,2.23858,0.009406,0.009406,0.009406
8,459.303,2.56294,3.50278,1.92646,0.67337,0.04483,0.03786,0.01213,2.60341,4.0886,1.95205,0.009307,0.009307,0.009307
9,514.88,2.50341,3.29346,1.88377,0.68855,0.09043,0.07484,0.03658,2.40705,3.37727,1.91228,0.009208,0.009208,0.009208
10,573.595,2.484,3.22195,1.88642,0.6354,0.0974,0.06312,0.02173,2.50002,3.41699,1.96486,0.009109,0.009109,0.009109
11,630.536,2.51455,3.20918,1.88446,0.58564,0.05195,0.03217,0.01161,2.73197,3.8465,2.11976,0.00901,0.00901,0.00901
12,688.192,2.52435,3.3085,1.88901,0.66829,0.06494,0.06164,0.01996,2.53782,3.70198,2.01587,0.008911,0.008911,0.008911
13,744.879,2.4593,3.18718,1.82654,0.74934,0.1039,0.11131,0.04591,2.46404,3.20138,1.84258,0.008812,0.008812,0.008812
14,805.364,2.45289,3.09145,1.78963,0.70859,0.12338,0.1055,0.04681,2.3061,3.26837,1.75548,0.008713,0.008713,0.008713
15,864.442,2.48866,3.18404,1.83901,0.03355,0.02198,0.00937,0.00468,2.73458,4.60917,2.00739,0.008614,0.008614,0.008614
16,921.317,2.40132,3.21819,1.83969,0.72702,0.04545,0.04423,0.01426,2.50342,3.90987,1.96034,0.008515,0.008515,0.008515
17,977.162,2.39136,3.06094,1.81781,0.58829,0.03896,0.03189,0.01375,2.51229,3.61676,2.02159,0.008416,0.008416,0.008416
18,1032.56,2.38942,3.06418,1.84664,0.65932,0.03896,0.04332,0.01405,2.51438,3.65853,2.0348,0.008317,0.008317,0.008317
19,1089.11,2.40815,3.11268,1.79671,0.58044,0.03896,0.03894,0.01194,2.48457,3.61162,1.91022,0.008218,0.008218,0.008218
20,1146.06,2.40735,3.1049,1.7948,0.68019,0.1039,0.07768,0.02358,2.56747,3.39215,1.99212,0.008119,0.008119,0.008119
21,1202.99,2.39626,2.95727,1.82127,0.72748,0.14286,0.13347,0.0502,2.35551,3.07959,1.93381,0.00802,0.00802,0.00802
22,1260.67,2.29572,2.99548,1.78551,0.7649,0.07792,0.09796,0.03618,2.30077,3.43178,1.84944,0.007921,0.007921,0.007921
23,1317.29,2.38532,2.95151,1.8093,0.76563,0.12338,0.14103,0.06377,2.29366,3.09424,1.79147,0.007822,0.007822,0.007822
24,1377.81,2.39266,3.04103,1.75147,0.56466,0.03896,0.02801,0.00924,2.57088,3.82681,1.90114,0.007723,0.007723,0.007723
25,1435.26,2.27805,2.93093,1.71935,0.7507,0.12338,0.14062,0.05226,2.39965,2.99161,1.82392,0.007624,0.007624,0.007624
26,1496.04,2.29802,2.96181,1.72118,0.71443,0.16883,0.1605,0.06838,2.28463,2.92956,1.76943,0.007525,0.007525,0.007525
27,1555.01,2.24243,2.75061,1.69641,0.83898,0.12338,0.14881,0.05589,2.24906,3.04698,1.77235,0.007426,0.007426,0.007426
28,1612.2,2.24382,2.79552,1.70057,0.87048,0.1039,0.12904,0.0578,2.33413,3.11356,1.83884,0.007327,0.007327,0.007327
29,1669.38,2.24438,3.04201,1.69212,0.69188,0.1039,0.10025,0.05056,2.2768,3.23161,1.79901,0.007228,0.007228,0.007228
30,1726.65,2.25124,2.80872,1.70122,0.84697,0.1039,0.13161,0.07041,2.32575,2.99049,1.83826,0.007129,0.007129,0.007129
31,1785.47,2.22503,2.77585,1.66537,0.66334,0.07878,0.07216,0.03116,2.35704,3.4036,1.85926,0.00703,0.00703,0.00703
32,1842.04,2.32153,2.93083,1.7688,0.58396,0.05844,0.03744,0.01165,2.79372,3.63899,2.07465,0.006931,0.006931,0.006931
33,1898.08,2.2088,2.74891,1.70518,0.78325,0.07792,0.10501,0.03905,2.2941,3.35141,1.81615,0.006832,0.006832,0.006832
34,1955.57,2.15719,2.6965,1.68654,0.72941,0.13636,0.13972,0.0507,2.3286,2.97612,1.8375,0.006733,0.006733,0.006733
35,2013.23,2.2258,2.79356,1.65132,0.78266,0.16048,0.17474,0.07638,2.20559,2.84425,1.78781,0.006634,0.006634,0.006634
36,2072.02,2.16171,2.61403,1.67808,0.68464,0.12987,0.09874,0.03734,2.38888,3.28188,1.87082,0.006535,0.006535,0.006535
37,2129.8,2.23391,2.79869,1.71682,0.70262,0.17532,0.15631,0.06939,2.17559,2.90525,1.71934,0.006436,0.006436,0.006436
38,2187.3,2.14696,2.81007,1.64331,0.71536,0.14286,0.12772,0.05092,2.31255,3.05867,1.81114,0.006337,0.006337,0.006337
39,2244.88,2.19751,2.76294,1.65483,0.74403,0.08442,0.08918,0.04432,2.225,3.235,1.73979,0.006238,0.006238,0.006238
40,2301.89,2.22453,2.86565,1.67069,0.83184,0.12338,0.14472,0.06461,2.27728,2.97277,1.81294,0.006139,0.006139,0.006139
41,2359.03,2.13646,2.64388,1.6348,0.72635,0.12987,0.13249,0.05537,2.21342,2.90793,1.77374,0.00604,0.00604,0.00604
42,2417.16,2.10824,2.63829,1.57938,0.74774,0.1212,0.15353,0.07671,2.09079,2.81151,1.6659,0.005941,0.005941,0.005941
43,2477.04,2.12393,2.65883,1.61477,0.69542,0.11039,0.13909,0.07414,2.14785,2.96646,1.69268,0.005842,0.005842,0.005842
44,2535.22,2.0705,2.60029,1.56148,0.79835,0.12987,0.16212,0.06464,2.24076,2.91699,1.76095,0.005743,0.005743,0.005743
45,2592.92,2.11344,2.65797,1.60917,0.59648,0.04545,0.0251,0.01042,2.60276,3.92853,1.98765,0.005644,0.005644,0.005644
46,2650.01,2.13723,2.78337,1.58484,0.77945,0.17282,0.17498,0.07748,2.10639,2.79351,1.72981,0.005545,0.005545,0.005545
47,2708.38,2.11647,2.66189,1.61228,0.79158,0.16883,0.17981,0.06749,2.23563,2.914,1.78537,0.005446,0.005446,0.005446
48,2766.56,2.0705,2.50865,1.6082,0.79561,0.12987,0.16073,0.08447,2.12793,2.83242,1.69427,0.005347,0.005347,0.005347
49,2826.93,2.10295,2.54596,1.61123,0.72977,0.14935,0.16215,0.06895,2.27013,2.97627,1.77245,0.005248,0.005248,0.005248
50,2885.42,2.05689,2.6074,1.57832,0.8231,0.14286,0.17914,0.07672,2.12592,2.73805,1.70842,0.005149,0.005149,0.005149
51,2944.3,1.94808,2.43148,1.53429,0.81732,0.15794,0.19077,0.07913,2.10047,2.8718,1.68367,0.00505,0.00505,0.00505
52,3002.49,2.1176,2.59328,1.62203,0.90054,0.13636,0.18013,0.09015,2.10493,2.74515,1.68353,0.004951,0.004951,0.004951
53,3063.27,2.06802,2.57854,1.58252,0.70934,0.15584,0.14822,0.06876,2.18502,2.92363,1.68628,0.004852,0.004852,0.004852
54,3122.05,1.95662,2.34144,1.54959,0.76797,0.16234,0.18297,0.0739,2.27822,2.759,1.77946,0.004753,0.004753,0.004753
55,3180.32,2.04869,2.58326,1.53902,0.78621,0.09091,0.10381,0.04376,2.4414,3.61345,1.82595,0.004654,0.004654,0.004654
56,3238.91,1.94335,2.28115,1.54039,0.73897,0.16054,0.17531,0.08093,2.17687,2.94146,1.73697,0.004555,0.004555,0.004555
57,3298.7,2.02247,2.43695,1.53348,0.71539,0.13636,0.12799,0.05424,2.28389,3.00685,1.82813,0.004456,0.004456,0.004456
58,3358.82,1.98582,2.48696,1.51964,0.75725,0.14286,0.17233,0.07784,2.21924,2.97176,1.74394,0.004357,0.004357,0.004357
59,3418.3,2.00645,2.52143,1.54108,0.87813,0.16883,0.20425,0.08249,2.20252,2.78054,1.7719,0.004258,0.004258,0.004258
60,3476.97,1.93917,2.48518,1.47716,0.74065,0.18078,0.19808,0.0909,2.14307,2.60434,1.69687,0.004159,0.004159,0.004159
61,3536.23,1.9584,2.40228,1.50367,0.79806,0.15584,0.19234,0.09313,2.21212,2.75147,1.73216,0.00406,0.00406,0.00406
62,3595.76,1.98264,2.46636,1.52523,0.82822,0.14935,0.18458,0.09036,2.15277,2.74901,1.73473,0.003961,0.003961,0.003961
63,3654.66,1.89852,2.28415,1.46349,0.23918,0.14286,0.1474,0.06201,2.21579,3.09328,1.74907,0.003862,0.003862,0.003862
64,3713.36,1.9764,2.42872,1.50096,0.29925,0.17139,0.16588,0.06604,2.23584,2.98835,1.78351,0.003763,0.003763,0.003763
65,3770.19,1.92868,2.34458,1.50368,0.24994,0.20406,0.18168,0.07677,2.16651,2.84541,1.73065,0.003664,0.003664,0.003664
66,3827.49,1.9284,2.29284,1.48223,0.27776,0.19481,0.19761,0.09013,2.18614,2.86344,1.77172,0.003565,0.003565,0.003565
67,3885.56,1.83127,2.25444,1.47382,0.26043,0.17809,0.16116,0.06892,2.20466,2.94227,1.7395,0.003466,0.003466,0.003466
68,3943.38,1.86584,2.30492,1.45159,0.81043,0.21269,0.23387,0.09661,2.13381,2.57038,1.69229,0.003367,0.003367,0.003367
69,4003.56,1.88001,2.26573,1.44802,0.84406,0.14935,0.17917,0.08301,2.19332,2.88583,1.73382,0.003268,0.003268,0.003268
